"BoxID","Lon","Lat","1997 Jun","1997 Jul","1997 Aug","1998 Jun","1998 Jul","1998 Aug","1999 Jun","1999 Jul","1999 Aug","2000 Jun","2000 Jul","2000 Aug","2001 Jun","2001 Jul","2001 Aug","2002 Jun","2002 Jul","2002 Aug","2003 Jun","2003 Jul","2003 Aug","2004 Jun","2004 Jul","2004 Aug","2005 Jun","2005 Jul","2005 Aug","2006 Jun","2006 Jul","2006 Aug","2007 Jun","2007 Jul","2007 Aug","2008 Jun","2008 Jul","2008 Aug","2009 Jun","2009 Jul","2009 Aug","2010 Jun","2010 Jul","2010 Aug","2011 Jun","2011 Jul","2011 Aug"
717,90.848686,36.839497,-10.651789,-8.1178627,-12.345416,-8.1032877,-11.86795,-13.132151,-9.1007681,-8.8938904,-12.805676,-10.959326,-12.905959,-14.230318,-13.165989,-13.130939,-15.184931,-7.3860731,-7.8605638,-8.7671776,-7.9744072,-8.9798107,-10.513892,-7.8809476,-9.7012997,-10.875167,-7.9295745,-12.553014,-11.84135,-8.1120625,-10.52589,-10.559548,-10.215728,-11.270739,-12.487598,-9.1569281,-11.763619,-11.462197,-4.6506071,-9.1790342,-10.446826,-10.595902,-9.694726,-10.950753,-9.4157381,-9.698926,-10.95087
718,91.506577,36.839497,-10.293292,-7.4361925,-12.050407,-7.2853632,-11.322241,-11.764458,-8.5569582,-8.1712112,-13.277506,-10.034214,-12.350121,-13.809428,-12.191738,-12.223377,-14.57789,-6.8203735,-7.9017458,-8.6206369,-8.1779318,-8.3883038,-10.019305,-7.5984268,-9.1663589,-11.347405,-7.4347773,-12.101213,-11.485302,-7.5138402,-10.434971,-9.8891592,-8.8346853,-10.783795,-12.096309,-8.3943968,-10.879977,-10.70251,-4.2927971,-8.8102999,-10.291949,-10.192785,-9.5831556,-10.889492,-9.2048483,-9.200901,-10.683543
719,92.164474,36.839497,-8.772994,-6.3397026,-11.485928,-7.0409617,-10.139274,-11.237456,-7.3527713,-6.5374584,-12.778752,-8.4978132,-11.029447,-12.688169,-10.25463,-10.772052,-13.246486,-5.5860877,-7.4385734,-8.6158104,-7.8544474,-7.1408887,-9.3668604,-6.5596118,-7.8386774,-10.905938,-7.4899979,-10.832274,-10.110425,-6.3462248,-9.6420383,-8.9681978,-6.4669876,-9.4927435,-11.5895,-7.1567311,-9.5276871,-10.697512,-6.0862031,-7.8780646,-9.6338396,-8.8299732,-8.7940063,-10.738768,-8.6400938,-7.2054963,-9.2278719
720,92.822365,36.839497,-7.3729191,-5.7478137,-10.233313,-7.7002091,-8.6270075,-9.7801809,-5.7475548,-4.8512864,-11.772198,-7.0616078,-10.017999,-11.196924,-9.1913595,-9.3872175,-11.720175,-4.5908904,-6.3334937,-8.9587173,-6.289865,-5.7473516,-8.8569126,-5.9419432,-7.3709812,-9.6942444,-6.5746861,-9.7880173,-9.0578585,-6.1383009,-8.6006346,-8.8226776,-5.7253466,-7.6448388,-11.724692,-6.5855966,-8.5756178,-10.385189,-9.0186644,-6.6344466,-8.7465115,-8.0767212,-7.3270431,-12.563217,-6.8382578,-5.3983345,-8.8871756
721,93.480263,36.839497,-7.0881386,-5.8441362,-10.316414,-7.1308017,-8.2154121,-9.4717932,-5.7892799,-4.7924023,-11.464577,-7.1281128,-9.7825155,-11.046444,-8.8823137,-8.7148552,-11.599461,-4.5433431,-6.3362231,-8.992486,-6.3147502,-5.5475292,-8.9651527,-6.2529926,-7.5052724,-9.5833073,-6.9010687,-9.8306131,-9.2001534,-6.2676749,-8.5408039,-9.1676016,-5.3355708,-7.5157638,-11.407217,-6.7849755,-8.6926222,-10.540296,-6.4535375,-6.3194418,-8.3686285,-7.9751406,-7.3170586,-12.911338,-6.3875942,-5.0985408,-8.788599
722,94.138161,36.839497,-6.9951625,-5.7297392,-10.096024,-6.9649482,-8.1384745,-9.709322,-5.7887564,-4.5319324,-11.477264,-6.8572812,-9.6079273,-10.855409,-9.1805944,-7.8614955,-11.348888,-4.4341083,-6.3616877,-8.8632431,-5.9070845,-5.2242131,-9.066124,-6.2886992,-7.7856646,-9.2218761,-6.2019029,-9.7742586,-8.8847504,-5.9744096,-8.5647402,-9.6642532,-4.9499235,-7.3752699,-11.056977,-6.9541836,-8.730238,-10.074045,-7.7213683,-6.3729663,-7.6340189,-7.9061894,-6.8672519,-13.248141,-6.2869782,-4.7872539,-8.9902706
723,94.796051,36.839497,-6.9615912,-5.3444529,-10.059453,-7.1388311,-8.2756548,-9.9262409,-5.9115243,-4.8116865,-11.562352,-6.8517561,-9.279995,-10.898331,-9.1113482,-7.486732,-11.640754,-4.5018377,-6.4593587,-8.6331167,-6.1808915,-5.1586056,-8.8739529,-6.0712156,-8.0191793,-9.2533092,-6.5689812,-9.8737478,-8.9912634,-5.6193151,-8.5234385,-10.008704,-5.2728496,-7.416719,-11.547837,-7.3008113,-8.6605768,-9.6864948,-7.4864855,-6.491188,-7.4025841,-8.0297823,-6.9439306,-13.098083,-6.7624631,-5.24296,-8.854002
724,95.453949,36.839497,-6.666657,-5.0242496,-10.104185,-6.7172017,-8.6960144,-10.550141,-6.2039785,-5.1941347,-12.321192,-6.6200123,-8.9855833,-10.982047,-9.0980206,-7.4047146,-12.303,-4.6217813,-6.6950636,-9.0447884,-6.5242963,-5.2993102,-8.8436098,-5.7386594,-8.5365925,-10.00744,-6.6564398,-9.9528847,-9.1993771,-5.4259763,-8.5769682,-10.558114,-5.6437111,-7.4466758,-12.304087,-6.893292,-8.7839031,-9.5693731,-7.6723056,-6.628736,-7.9179916,-8.5762424,-7.133604,-12.970947,-7.0938654,-5.8719296,-8.2997017
725,96.111839,36.839497,-6.0537577,-5.0777869,-10.43271,-6.582139,-9.1394825,-10.157656,-6.2496204,-6.5635695,-13.028252,-7.0707831,-10.115325,-11.18109,-9.2723074,-7.5311842,-12.439762,-4.6274457,-7.252337,-9.4660273,-6.2715802,-5.5422101,-9.4029074,-5.2425528,-8.5231352,-10.643502,-5.8406868,-10.446835,-9.190608,-5.4158297,-8.7410688,-10.030189,-5.7321677,-7.9299707,-12.664884,-6.0858064,-8.915823,-9.3771133,-7.3641119,-7.0849838,-8.3246422,-9.1354351,-7.8491044,-12.702931,-6.7281833,-5.588841,-8.3899422
726,96.769737,36.839497,-6.0283008,-5.2469206,-10.68104,-8.3985538,-10.439696,-10.265471,-6.894197,-9.0000439,-12.489323,-7.514626,-10.996992,-11.887606,-10.080919,-8.0733862,-12.47643,-4.8676434,-7.864706,-9.0073957,-5.4454355,-5.7715092,-9.999299,-5.1876216,-7.9006486,-10.903042,-5.7519631,-10.456282,-9.6151123,-5.618299,-9.0097656,-10.045237,-6.422256,-8.9354544,-13.285364,-6.2267389,-9.1765156,-9.747611,-6.0158863,-7.5017076,-9.0275497,-9.7061148,-8.6575279,-12.997132,-6.6432443,-6.6112652,-9.1891928
